Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date
92,191,138,11,1,66.66,3,caught,1,,v Sri Lanka,Colombo (SSC),24-Mar-04
20,48,36,2,0,55.55,3,caught,3,,v Sri Lanka,Colombo (SSC),24-Mar-04
22,32,27,3,0,81.48,3,caught,1,,v Sri Lanka,Cairns,9-Jul-04
45,122,109,3,1,41.28,3,caught,3,,v Sri Lanka,Cairns,9-Jul-04
11,29,19,1,0,57.89,3,lbw,2,,v India,Mumbai,3-Nov-04
12,20,15,2,0,80,3,caught,4,,v India,Mumbai,3-Nov-04
51,116,84,7,0,60.71,3,caught,2,,v New Zealand,Brisbane,18-Nov-04
68,96,79,11,0,86.07,3,stumped,1,,v New Zealand,Adelaide,26-Nov-04
26*,82,57,0,0,45.61,3,not out,3,,v New Zealand,Adelaide,26-Nov-04
25,75,54,2,0,46.29,3,bowled,1,,v Pakistan,Perth,16-Dec-04
98,233,176,13,0,55.68,3,stumped,3,,v Pakistan,Perth,16-Dec-04
7,22,9,1,0,77.77,3,caught,2,,v Pakistan,Melbourne,26-Dec-04
62*,102,91,5,1,68.13,3,not out,4,,v Pakistan,Melbourne,26-Dec-04
207,491,332,30,0,62.34,3,bowled,2,,v Pakistan,Sydney,2-Jan-05
4*,1,1,1,0,400,3,not out,4,,v Pakistan,Sydney,2-Jan-05
46,121,104,6,1,44.23,3,caught,2,,v New Zealand,Christchurch,10-Mar-05
47*,93,75,7,1,62.66,3,not out,4,,v New Zealand,Christchurch,10-Mar-05
9,36,30,0,0,30,3,lbw,1,,v New Zealand,Wellington,18-Mar-05
105,154,110,13,4,95.45,3,caught,2,,v New Zealand,Auckland,26-Mar-05
86*,113,84,12,2,102.38,3,not out,4,,v New Zealand,Auckland,26-Mar-05
9,38,18,1,0,50,3,caught,1,,v England,Lord's,21-Jul-05
42,100,65,3,0,64.61,3,caught,3,,v England,Lord's,21-Jul-05
61,87,76,12,0,80.26,3,caught,2,,v England,Birmingham,4-Aug-05
0,4,5,0,0,0,3,caught,4,,v England,Birmingham,4-Aug-05
7,20,12,1,0,58.33,3,caught,2,,v England,Manchester,11-Aug-05
156,411,275,16,1,56.72,3,caught,4,,v England,Manchester,11-Aug-05
1,6,6,0,0,16.66,3,lbw,2,,v England,Nottingham,25-Aug-05
48,137,89,3,1,53.93,3,run out,3,,v England,Nottingham,25-Aug-05
35,81,56,3,0,62.5,3,caught,2,,v England,The Oval,8-Sep-05
DNB,-,-,-,-,-,-,-,4,,v England,The Oval,8-Sep-05
46,96,76,6,1,60.52,3,caught,1,,v ICC World XI,Sydney,14-Oct-05
54,189,111,4,0,48.64,3,caught,3,,v ICC World XI,Sydney,14-Oct-05
149,316,213,15,0,69.95,3,caught,1,,v West Indies,Brisbane,3-Nov-05
104*,182,158,8,0,65.82,3,not out,3,,v West Indies,Brisbane,3-Nov-05
17,43,40,2,0,42.5,3,bowled,2,,v West Indies,Hobart,17-Nov-05
0*,2,3,0,0,0,3,not out,4,,v West Indies,Hobart,17-Nov-05
56,168,122,6,0,45.9,3,lbw,2,,v West Indies,Adelaide,25-Nov-05
3,20,17,0,0,17.64,3,caught,4,,v West Indies,Adelaide,25-Nov-05
